Province,Municipality,month,South-facing vertical (tilt=90째),South-facing tilt=latitude,South-facing tilt=lat+15째,South-facing tilt=lat-15째,Two-axis sun-tracking,Horizontal (tilt=0째)
Ontario,Kingston,January,3.29,3.19,3.4,2.81,3.89,1.55
Ontario,Kingston,February,4.11,4.32,4.48,3.94,5.33,2.5
Ontario,Kingston,March,4.06,5.04,4.96,4.86,6.51,3.61
Ontario,Kingston,April,3.08,4.94,4.54,5.1,6.9,4.42
Ontario,Kingston,May,2.75,5.22,4.57,5.62,7.88,5.39
Ontario,Kingston,June,2.62,5.42,4.62,5.96,8.65,6.01
Ontario,Kingston,July,2.78,5.6,4.83,6.12,8.96,6.12
Ontario,Kingston,August,2.99,5.21,4.68,5.48,7.66,5.12
Ontario,Kingston,September,3.15,4.51,4.28,4.51,6.04,3.78
Ontario,Kingston,October,3.19,3.79,3.8,3.57,4.7,2.46
Ontario,Kingston,November,2.41,2.54,2.64,2.3,3.04,1.37
Ontario,Kingston,December,2.65,2.55,2.73,2.23,3.08,1.19
Ontario,Kingston,Annual,3.08,4.36,4.12,4.38,6.06,3.63